Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,261.5,271.0,259.0,259.5,254.20274353027344,1882820
2020-08-20,259.5,259.5,237.5,244.0,239.01914978027344,2051284
2020-08-21,248.0,253.0,248.0,252.0,246.8558349609375,470400
2020-08-24,253.0,262.0,252.0,254.5,249.3048095703125,954928
2020-08-25,258.0,258.5,252.5,253.5,248.32521057128906,376290
2020-08-26,255.0,260.5,255.0,255.0,249.7946014404297,540213
2020-08-27,258.0,264.5,257.0,262.5,257.1415100097656,1071254
2020-08-28,261.5,261.5,252.5,254.0,248.81500244140625,1060322
2020-08-31,254.5,269.5,254.0,269.0,263.5087890625,2014547
2020-09-01,265.0,275.0,260.5,264.0,258.6108703613281,1594390
2020-09-02,265.0,269.0,262.0,268.0,262.52923583984375,501464
2020-09-03,272.0,275.0,264.0,265.5,260.0802307128906,971076
2020-09-04,260.0,269.0,259.5,265.5,260.0802307128906,588072
2020-09-07,265.5,267.0,258.5,260.0,254.69252014160156,509015
2020-09-08,263.0,263.0,258.5,260.5,255.18234252929688,238703
2020-09-09,259.0,262.5,258.0,259.0,253.71295166015625,271127
2020-09-10,262.0,262.0,258.0,259.0,253.71295166015625,237127
2020-09-11,259.0,261.0,253.0,255.0,249.7946014404297,480293
2020-09-14,258.5,258.5,253.5,257.0,251.75375366210938,472100
2020-09-15,257.5,260.0,256.0,258.0,252.7333526611328,349229
2020-09-16,258.0,260.0,255.0,256.0,250.77418518066406,524154
2020-09-17,257.5,265.0,257.5,260.0,254.69252014160156,1116000
2020-09-18,262.5,263.5,258.5,258.5,253.22314453125,304500
2020-09-21,262.0,262.5,258.5,259.5,254.20274353027344,292521
2020-09-22,259.5,268.0,258.0,258.5,253.22314453125,1439371
2020-09-23,259.0,261.0,256.0,256.0,250.77418518066406,596542
2020-09-24,253.5,266.5,253.0,262.0,256.6517333984375,1547934
2020-09-25,262.0,264.0,255.5,257.5,252.24356079101562,612188
2020-09-28,260.0,260.0,256.5,258.5,253.22314453125,162197
2020-09-29,260.5,264.0,257.5,257.5,252.24356079101562,354244
2020-09-30,259.0,259.0,256.0,258.0,252.7333526611328,170139
2020-10-05,259.5,260.5,255.0,257.0,251.75375366210938,220080
2020-10-06,257.5,260.0,257.5,259.0,253.71295166015625,151090
2020-10-07,259.0,259.0,255.0,258.5,253.22314453125,154372
2020-10-08,260.5,260.5,257.0,259.5,254.20274353027344,126000
2020-10-12,260.5,264.5,257.0,260.0,254.69252014160156,431009
2020-10-13,261.5,269.0,259.0,259.0,253.71295166015625,1518272
2020-10-14,262.0,262.5,256.5,257.5,252.24356079101562,319150
2020-10-15,256.0,258.0,254.5,255.0,249.7946014404297,297425
2020-10-16,257.0,257.0,250.5,250.5,245.38644409179688,256565
2020-10-19,251.5,255.0,251.5,252.0,246.8558349609375,123202
2020-10-20,252.0,252.0,246.5,247.5,242.4476776123047,493590
2020-10-21,248.0,249.0,245.0,248.0,242.93748474121094,217462
2020-10-22,248.0,248.0,244.0,244.0,239.01914978027344,196700
2020-10-23,244.5,246.5,240.0,245.0,239.9987335205078,354205
2020-10-26,245.5,246.0,238.0,238.0,233.14161682128906,683007
2020-10-27,235.0,240.5,235.0,238.5,233.63140869140625,228015
2020-10-28,239.0,239.0,235.0,236.5,231.6722412109375,237000
2020-10-29,231.0,236.5,231.0,235.5,230.69265747070312,161000
2020-10-30,235.0,236.5,231.0,231.0,226.28451538085938,184000
2020-11-02,231.5,232.0,225.5,228.5,223.83554077148438,223250
2020-11-03,230.0,235.0,230.0,233.0,228.24366760253906,112152
2020-11-04,235.0,235.5,232.0,234.0,229.2232666015625,122094
2020-11-05,234.0,236.0,233.5,235.5,230.69265747070312,106025
2020-11-06,237.5,239.5,235.0,235.5,230.69265747070312,172807
2020-11-09,239.0,239.5,237.0,238.0,233.14161682128906,108088
2020-11-10,239.5,239.5,231.5,232.5,227.75390625,213250
2020-11-11,232.5,233.0,226.5,232.0,227.26409912109375,381179
2020-11-12,234.5,248.0,234.5,238.0,233.14161682128906,1536025
2020-11-13,238.0,240.0,235.0,237.5,232.65182495117188,241070
2020-11-16,241.0,241.0,237.0,238.5,233.63140869140625,237050
2020-11-17,241.0,241.5,238.0,238.0,233.14161682128906,145140
2020-11-18,239.0,241.0,239.0,239.5,234.61099243164062,152056
2020-11-19,239.5,240.5,237.0,238.5,233.63140869140625,154050
2020-11-20,238.5,239.5,235.5,236.5,231.6722412109375,160095
2020-11-23,237.5,242.0,237.5,238.5,233.63140869140625,305005
2020-11-24,242.0,242.0,238.0,238.5,233.63140869140625,115001
2020-11-25,243.5,246.5,239.0,239.5,234.61099243164062,574213
2020-11-26,243.0,243.0,240.0,241.0,236.08038330078125,97336
2020-11-27,242.5,242.5,239.0,241.0,236.08038330078125,131501
2020-11-30,241.0,243.0,239.0,239.0,234.1212158203125,165000
2020-12-01,239.5,242.0,239.0,239.5,234.61099243164062,117027
2020-12-02,240.5,240.5,237.5,238.0,233.14161682128906,124153
2020-12-03,238.5,239.5,235.5,236.0,231.1824493408203,117272
